control_type,hour,red_light_waits,yellow_light_waits,congestion_waits
ai,0,0.0,0.0,0.0
ai,1,0.0,2.4,0.0
ai,2,0.0,2.36,0.0
ai,3,0.0,2.4,0.0
ai,4,0.0,2.4,0.0
ai,5,0.0,2.36,0.0
ai,6,0.0,2.4,0.0
ai,7,0.0,2.4,0.0
ai,8,0.0,2.4,0.0
ai,9,0.0,2.4,0.0
ai,10,0.0,2.4,0.0
ai,11,0.0,2.4,0.0
ai,12,0.0,2.4,0.0
ai,13,0.0,2.4,0.0
ai,14,0.0,2.4,0.0
ai,15,0.0,2.4,0.0
ai,16,0.0,2.4,0.0
ai,17,0.0,2.4,0.0
ai,18,0.0,2.4,0.0
ai,19,0.0,2.4,0.0
ai,20,0.0,2.4,0.0
ai,21,0.0,2.4,0.0
ai,22,0.0,2.4,0.0
ai,23,0.0,2.4,0.0
traditional,0,0.0,0.0,0.0
traditional,1,3.84,0.0,0.0
traditional,2,10.16,1.2,0.0
traditional,3,10.16,12.56,0.0
traditional,4,10.16,23.88,0.0
traditional,5,10.16,42.88,0.0
traditional,6,10.16,42.88,0.0
traditional,7,10.16,46.6,0.0
traditional,8,13.96,61.76,0.0
traditional,9,12.52,48.16,0.0
traditional,10,12.52,90.24,0.0
traditional,11,12.52,101.6,0.0
traditional,12,12.52,155.16,0.0
traditional,13,12.52,155.16,0.0
traditional,14,12.52,158.84,0.0
traditional,15,16.28,185.32,0.0
traditional,16,15.2,171.52,0.0
traditional,17,15.2,255.72,0.0
traditional,18,15.2,267.4,0.0
traditional,19,15.2,347.32,0.0
traditional,20,15.2,347.32,0.0
traditional,21,15.2,351.0,0.0
traditional,22,19.0,377.8,0.0
traditional,23,19.12,362.36,0.0
